"type","ID","Period","site"
"188","BearMR","x",2,"E6"
"189","BearMR","y",2,"A2"
"190","BearMR","z",2,"A4"
"191","BearMR","z",2,"B4"
"192","BearMR","z",2,"C5"
"193","BearMR","A",2,"A5"
"194","BearMR","A",2,"A6"
"195","BearMR","A",2,"B5"
"196","BearMR","B",2,"A2"
"197","BearMR","B",2,"A4"
"198","BearMR","B",2,"B3"
"199","BearMR","C",2,"E2"
"200","BearMR","C",2,"E3"
"201","BearMR","C",2,"F2"
"202","BearMR","D",2,"C4"
"203","BearMR","D",2,"E5"
"204","BearMR","a",3,"B2"
"205","BearMR","a",3,"C1"
"206","BearMR","a",3,"D2"
"207","BearMR","a",3,"D3"
"208","BearMR","a",3,"E2"
"209","BearMR","b",3,"A6"
"210","BearMR","b",3,"B6"
"211","BearMR","c",3,"A4"
"212","BearMR","c",3,"B4"
"213","BearMR","d",3,"E5"
"214","BearMR","d",3,"F6"
"215","BearMR","e",3,"E1"
"216","BearMR","f",3,"A1"
"217","BearMR","f",3,"C2"
"218","BearMR","g",3,"D5"
"219","BearMR","g",3,"E4"
"220","BearMR","g",3,"E5"
"221","BearMR","g",3,"F3"
"222","BearMR","h",3,"E6"
"223","BearMR","i",3,"A5"
"224","BearMR","j",3,"A4"
"225","BearMR","j",3,"A5"
"226","BearMR","j",3,"A6"
"227","BearMR","j",3,"B6"
"228","BearMR","j",3,"C5"
"229","BearMR","k",3,"B1"
"230","BearMR","k",3,"C1"
"231","BearMR","k",3,"D2"
"232","BearMR","k",3,"E1"
"233","BearMR","l",3,"D6"
"234","BearMR","l",3,"E6"
"235","BearMR","m",3,"D4"
"236","BearMR","m",3,"F5"
"237","BearMR","m",3,"F6"
"238","BearMR","n",3,"B1"
"239","BearMR","n",3,"B2"
"240","BearMR","n",3,"C1"
"241","BearMR","n",3,"C2"
"242","BearMR","n",3,"D1"
"243","BearMR","n",3,"D3"
"244","BearMR","p",3,"E3"
"245","BearMR","p",3,"E4"
"246","BearMR","p",3,"E5"
"247","BearMR","p",3,"F4"
"248","BearMR","p",3,"F5"
"249","BearMR","q",3,"A5"
"250","BearMR","r",3,"A3"
"251","BearMR","r",3,"A4"
"252","BearMR","r",3,"A5"
"253","BearMR","s",3,"F1"
"254","BearMR","t",3,"B4"
"255","BearMR","t",3,"C4"
"256","BearMR","t",3,"C5"
"257","BearMR","t",3,"D5"
"258","BearMR","u",3,"F5"
"259","BearMR","u",3,"F6"
"260","BearMR","v",3,"C1"
"261","BearMR","v",3,"E2"
"262","BearMR","w",3,"D1"
"263","BearMR","x",3,"E6"
"264","BearMR","x",3,"F6"
"265","BearMR","y",3,"C1"
"266","BearMR","z",3,"B4"
"267","BearMR","z",3,"B5"
"268","BearMR","z",3,"C3"
"269","BearMR","z",3,"C6"
"270","BearMR","z",3,"D3"
"271","BearMR","A",3,"A6"
"272","BearMR","A",3,"B4"
"273","BearMR","A",3,"B5"
"274","BearMR","A",3,"D5"
"275","BearMR","B",3,"A4"
"276","BearMR","B",3,"B2"
"277","BearMR","C",3,"F1"
"278","BearMR","C",3,"F3"
"279","BearMR","D",3,"B2"
"280","BearMR","D",3,"C3"
"281","BearMR","D",3,"D4"
"282","BearMR","a",4,"C1"
"283","BearMR","a",4,"C2"
"284","BearMR","a",4,"D2"
"285","BearMR","a",4,"D3"
"286","BearMR","b",4,"A5"
"287","BearMR","b",4,"A6"
"288","BearMR","b",4,"B5"
"289","BearMR","b",4,"B6"
"290","BearMR","c",4,"A2"
"291","BearMR","c",4,"A3"
"292","BearMR","c",4,"B2"
"293","BearMR","c",4,"B4"
"294","BearMR","c",4,"D3"
"295","BearMR","d",4,"D5"
"296","BearMR","d",4,"E6"
"297","BearMR","d",4,"F4"
"298","BearMR","d",4,"F6"
"299","BearMR","f",4,"C2"
"300","BearMR","g",4,"E5"
"301","BearMR","g",4,"F3"
"302","BearMR","g",4,"F4"
"303","BearMR","i",4,"A5"
"304","BearMR","j",4,"A5"
"305","BearMR","j",4,"A6"
