"","FullN.notRedun","SubProp.notRedun","SubN.notRedun","Denhat","Denhat.SE","g0","g0.bTRUE","sigma","trial","model","size","fullN","whichSource","sim"
"657",507,0.561176470588235,477,385.990920916815,62.5477889840253,-2.42009921004506,2.90475876119513,1.55350365307517,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10020.rds"
"658",507,0.557647058823529,474,426.560493383129,66.8866539335731,-2.43050108913399,2.85067986430388,1.52914057177001,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10021.rds"
"659",507,0.555294117647059,472,404.829621902614,64.0341263929602,-2.49376600442441,3.00276164088679,1.56679263360031,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10022.rds"
"660",507,0.565882352941177,481,400.465615945795,64.0768488148332,-2.41531272015632,2.91517969982702,1.53980589062562,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10023.rds"
"661",507,0.567058823529412,482,412.232992132827,65.1819669678041,-2.44049164501489,2.97484851124465,1.53887938814737,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10024.rds"
"662",507,0.567058823529412,482,389.602980144273,63.0370104292207,-2.38713298462691,2.90636861044704,1.5382254645589,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10025.rds"
"663",507,0.562352941176471,478,392.084315976286,62.7122437616951,-2.4376570461876,2.90955776614808,1.56529740735967,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10026.rds"
"664",507,0.568235294117647,483,409.967119342103,64.9044337050516,-2.42075949941968,2.90134656699091,1.54085777293596,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10027.rds"
"665",507,0.564705882352941,480,403.997953484413,63.9520315893547,-2.47322827625122,3.02484273394669,1.56515112119262,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10028.rds"
"666",507,0.561176470588235,477,388.698854977274,62.9881891698119,-2.40904215980519,2.9832915211539,1.54444626885665,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10029.rds"
"667",507,0.558823529411765,475,400.418943027823,64.1766675276686,-2.44874948796276,3.01363192064858,1.5459054877273,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10030.rds"
"668",507,0.567058823529412,482,411.20719452919,65.066210740228,-2.40444758914936,2.83248531609205,1.5349374050411,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10031.rds"
"669",507,0.565882352941177,481,408.666971998331,64.677819416045,-2.4533014834209,3.0327914006,1.54988175009576,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10032.rds"
"670",507,0.561176470588235,477,403.576112469316,64.6605815698585,-2.41982922579028,2.89310028643858,1.53289424799508,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10033.rds"
"671",507,0.565882352941177,481,413.511335768376,65.5011381225507,-2.44190063259378,2.96489955810314,1.53605389891138,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10034.rds"
"672",507,0.555294117647059,472,388.791665113875,62.1614807782596,-2.4413799366439,2.89350224310536,1.5747258463031,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10035.rds"
"673",507,0.555294117647059,472,402.919543542033,63.8218596098797,-2.44232053076992,2.8433553324191,1.56229934532286,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10036.rds"
"674",507,0.563529411764706,479,378.185727442318,61.9053231729996,-2.39997362641641,2.9008657898608,1.54559147595693,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10037.rds"
"675",507,0.561176470588235,477,403.458538511243,63.794321545025,-2.4433899239778,2.83747421328708,1.56112130757819,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10038.rds"
"676",507,0.557647058823529,474,401.455590604366,64.3511766432038,-2.4434774398029,2.9766717584787,1.54236951881296,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10039.rds"
"677",507,0.567058823529412,482,412.279997584645,65.2735652421288,-2.43620811098584,2.96729553903349,1.53799850145469,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10040.rds"
"678",507,0.56,476,408.147065770332,64.6356591023832,-2.44868202388823,2.93569958612854,1.55033258484609,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10041.rds"
"679",507,0.563529411764706,479,405.547798353671,64.9511518403149,-2.41814265093343,2.91510240011862,1.52776927280462,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10042.rds"
"680",507,0.567058823529412,482,395.38545645873,63.1901958106466,-2.44791241014629,3.07700145866455,1.5585452115464,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10043.rds"
"681",507,0.570588235294118,485,407.896166813662,64.5112848937834,-2.43252739503587,2.98535764577513,1.54805227238865,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10044.rds"
"682",507,0.561176470588235,477,411.925811291596,65.2253248595873,-2.44138732257898,2.92442148903053,1.53978271479159,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10045.rds"
"683",507,0.550588235294118,468,382.459657037903,61.9252909733284,-2.45551933774974,2.92426891347223,1.56930150771729,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10046.rds"
"684",507,0.550588235294118,468,396.230850956613,63.5099959770322,-2.48920865359823,2.96218859190685,1.56385857194754,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10047.rds"
"685",507,0.565882352941177,481,406.648407197682,64.2929721784843,-2.4087638281719,2.91613066508034,1.54690685345609,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10048.rds"
"686",507,0.568235294117647,483,412.460805014804,65.2552535808551,-2.43714822949786,2.98577395443086,1.53773036097153,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10049.rds"
"687",507,0.556470588235294,473,398.785013703289,63.9033907360678,-2.44933800254293,2.94262970895411,1.55012258148325,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10050.rds"
"688",507,0.56,476,408.33804077929,64.6416421134389,-2.46001419935531,2.95710867221459,1.55190422444102,"t1","g0 tilde bk","850",1019,"EmpData","EmpData/t1/g0 tilde bk/850/Spread.one10051.rds"
